Jan	1950	102526.4709																					
	52.5	103252	103343	103404	103449	103507	103599	103736	103899	104056	104169	104212	104183	104104	104015	103950	103929	103938	103932	103859	103691	103441	
	55	103030	103135	103222	103291	103352	103421	103509	103608	103702	103768	103791	103773	103737	103715	103736	103805	103896	103963	103957	103853	103667	
	57.5	102774	102868	102955	103024	103082	103133	103185	103241	103296	103341	103372	103392	103412	103450	103517	103606	103700	103763	103771	103712	103605	
	60	102574	102642	102704	102755	102797	102834	102874	102921	102974	103031	103092	103149	103206	103261	103313	103361	103390	103394	103371	103327	103279	103525.2169
Jan	1959																						
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102431	102645	102813	102875	102840	102778	102761	102820	102930	103042	103130	103207	103295	103401	103486	103497	103407	103232	103027	102838	102688	
	42.5	102542	102710	102859	102954	103007	103063	103160	103299	103448	103575	103665	103737	103805	103865	103876	103801	103633	103398	103144	102916	102737	
	45	102772	102866	102965	103071	103197	103353	103536	103719	103873	103986	104064	104124	104169	104177	104118	103973	103749	103478	103203	102952	102744	
	47.5	103062	103102	103154	103240	103372	103546	103734	103901	104024	104105	104159	104197	104216	104192	104103	103945	103731	103483	103219	102956	102711	
	50	103207	103235	103269	103337	103446	103587	103731	103850	103928	103973	103996	104008	104005	103978	103914	103811	103676	103506	103298	103054	102792	
	52.5	103085	103124	103173	103245	103340	103448	103548	103625	103669	103687	103689	103688	103687	103685	103683	103672	103645	103582	103463	103282	103057	
	55	102775	102826	102889	102966	103050	103134	103203	103251	103278	103289	103297	103309	103334	103377	103435	103500	103554	103575	103540	103443	103300	
	57.5	102432	102483	102542	102606	102666	102720	102765	102800	102829	102860	102896	102944	103007	103084	103169	103252	103315	103351	103346	103305	103238	
	60	102127	102172	102214	102255	102295	102333	102372	102420	102479	102550	102633	102725	102818	102904	102972	103014	103027	103013	102978	102940	102908	103261.0582
Jan	1960																						
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102407	102527	102580	102551	102486	102454	102496	102599	102719	102814	102869	102902	102944	103011	103090	103147	103145	103075	102963	102844	102749	
	42.5	102457	102573	102645	102669	102689	102755	102892	103061	103204	103283	103310	103330	103382	103469	103550	103579	103520	103387	103222	103070	102957	
	45	102497	102621	102731	102831	102951	103116	103321	103521	103664	103723	103725	103717	103741	103795	103846	103849	103781	103650	103486	103320	103171	
