  120.000    	  102900.    	  103179.    	  103404.    	  103301.    	  102984.    	  102918.    	  103321.    	  103870.    	  103986.    
  2 Jan 2018	  40.0000    	  42.5000    	  45.0000    	  47.5000    	  50.0000    	  52.5000    	  55.0000    	  57.5000    	  60.0000    
  70.0000    	  101758.    	  101938.    	  102435.    	  103083.    	  103578.    	  103756.    	  103680.    	  103469.    	  103139.    
  72.5000    	  102205.    	  102355.    	  102796.    	  103380.    	  103852.    	  104062.    	  104024.    	  103797.    	  103384.    
  75.0000    	  102598.    	  102759.    	  103149.    	  103646.    	  104053.    	  104275.    	  104286.    	  104065.    	  103616.    
  77.5000    	  102886.    	  103091.    	  103457.    	  103857.    	  104187.    	  104400.    	  104439.    	  104258.    	  103809.    
  80.0000    	  103045.    	  103320.    	  103688.    	  104029.    	  104296.    	  104480.    	  104528.    	  104360.    	  103949.    
  82.5000    	  103115.    	  103452.    	  103849.    	  104184.    	  104436.    	  104584.    	  104592.    	  104417.    	  104047.    
  85.0000    	  103145.    	  103525.    	  103956.    	  104358.    	  104660.    	  104779.    	  104699.    	  104460.    	  104122.    
  87.5000    	  103159.    	  103584.    	  104061.    	  104584.    	  104998.    	  105098.    	  104880.    	  104534.    	  104179.    
  90.0000    	  103162.    	  103658.    	  104210.    	  104874.    	  105416.    	  105503.    	  105137.    	  104640.    	  104244.    
  92.5000    	  103192.    	  103783.    	  104410.    	  105189.    	  105833.    	  105905.    	  105414.    	  104785.    	  104319.    
  95.0000    	  103270.    	  103976.    	  104660.    	  105476.    	  106138.    	  106190.    	  105635.    	  104936.    	  104398.    
  97.5000    	  103444.    	  104229.    	  104912.    	  105662.    	  106247.    	  106276.    	  105747.    	  105042.    	  104460.    
 100.0000    	  103698.    	  104504.    	  105115.    	  105693.    	  106121.    	  106141.    	  105722.    	  105112.    	  104498.    
  102.500    	  103965.    	  104720.    	  105221.    	  105577.    	  105820.    	  105842.    	  105595.    	  105113.    	  104494.    
  105.000    	  104150.    	  104820.    	  105209.    	  105358.    	  105427.    	  105471.    	  105395.    	  105067.    	  104448.    
  107.500    	  104190.    	  104796.    	  105105.    	  105109.    	  105049.    	  105109.    	  105183.    	  104975.    	  104352.    
  110.000    	  104115.    	  104675.    	  104940.    	  104864.    	  104716.    	  104797.    	  104974.    	  104847.    	  104218.    
  112.500    	  103984.    	  104505.    	  104740.    	  104611.    	  104421.    	  104505.    	  104748.    	  104677.    	  104054.    
  115.000    	  103861.    	  104307.    	  104484.    	  104314.    	  104102.    	  104193.    	  104485.    	  104468.    	  103880.    
  117.500    	  103740.    	  104074.    	  104172.    	  103955.    	  103733.    	  103843.    	  104180.    	  104236.    	  103728.    
  120.000    	  103599.    	  103822.    	  103829.    	  103567.    	  103337.    	  103466.    	  103853.    	  103994.    	  103597.    
  3 Jan 2018	  40.0000    	  42.5000    	  45.0000    	  47.5000    	  50.0000    	  52.5000    	  55.0000    	  57.5000    	  60.0000    
  70.0000    	  101155.    	  101160.    	  101732.    	  102624.    	  103360.    	  103657.    	  103588.    	  103377.    	  103079.    
  72.5000    	  101346.    	  101467.    	  102058.    	  102872.    	  103531.    	  103843.    	  103855.    	  103662.    	  103305.    
  75.0000    	  101600.    	  101886.    	  102487.    	  103136.    	  103637.    	  103937.    	  104047.    	  103918.    	  103536.    
  77.5000    	  101873.    	  102344.    	  102940.    	  103383.    	  103684.    	  103947.    	  104147.    	  104111.    	  103744.    
  80.0000    	  102086.    	  102692.    	  103281.    	  103582.    	  103715.    	  103936.    	  104190.    	  104219.    	  103889.    
  82.5000    	  102165.    	  102795.    	  103415.    	  103699.    	  103807.    	  103999.    	  104238.    	  104278.    	  103982.    
  85.0000    	  102119.    	  102677.    	  103350.    	  103789.    	  104012.    	  104202.    	  104348.    	  104314.    	  104017.    
  87.5000    	  102076.    	  102506.    	  103241.    	  103931.    	  104381.    	  104572.    	  104552.    	  104346.    	  104016.    
  90.0000    	  102176.    	  102487.    	  103275.    	  104204.    	  104868.    	  105048.    	  104819.    	  104395.    	  103996.    
  92.5000    	  102467.    	  102751.    	  103548.    	  104609.    	  105396.    	  105530.    	  105083.    	  104466.    	  103975.    
  95.0000    	  102871.    	  103240.    	  104020.    	  105050.    	  105817.    	  105869.    	  105286.    	  104521.    	  103949.    
  97.5000    	  103248.    	  103794.    	  104530.    	  105396.    	  106011.    	  105985.    	  105367.    	  104559.    	  103927.    
 100.0000    	  103515.    	  104234.    	  104918.    	  105552.    	  105942.    	  105870.    	  105319.    	  104560.    	  103897.    
  102.500    	  103669.    	  104493.    	  105114.    	  105503.    	  105684.    	  105597.    	  105187.    	  104538.    	  103845.    
  105.000    	  103784.    	  104602.    	  105152.    	  105357.    	  105362.    	  105284.    	  105018.    	  104484.    	  103757.    
  107.500    	  103904.    	  104638.    	  105124.    	  105197.    	  105083.    	  105007.    	  104843.    	  104380.    	  103624.    
  110.000    	  104021.    	  104642.    	  105061.    	  105052.    	  104866.    	  104771.    	  104661.    	  104232.    	  103440.    
  112.500    	  104085.    	  104592.    	  104942.    	  104885.    	  104650.    	  104532.    	  104440.    	  104021.    	  103221.    
  115.000    	  104061.    	  104454.    	  104711.    	  104627.    	  104376.    	  104242.    	  104152.    	  103758.    	  102991.    
  117.500    	  103931.    	  104202.    	  104376.    	  104263.    	  104010.    	  103871.    	  103805.    	  103480.    	  102791.    
  120.000    	  103738.    	  103897.    	  103991.    	  103844.    	  103594.    	  103476.    	  103448.    	  103221.    	  102659.    
  4 Jan 2018	  40.0000    	  42.5000    	  45.0000    	  47.5000    	  50.0000    	  52.5000    	  55.0000    	  57.5000    	  60.0000    
  70.0000    	  101728.    	  101806.    	  102259.    	  102993.    	  103646.    	  103896.    	  103738.    	  103374.    	  103011.    
  72.5000    	  101615.    	  101833.    	  102423.    	  103189.    	  103784.    	  104000.    	  103856.    	  103519.    	  103149.    
  75.0000    	  101583.    	  101968.    	  102649.    	  103346.    	  103824.    	  104005.    	  103909.    	  103635.    	  103281.    
  77.5000    	  101725.    	  102265.    	  102956.    	  103498.    	  103800.    	  103927.    	  103901.    	  103707.    	  103388.    
  80.0000    	  102000.    	  102664.    	  103317.    	  103661.    	  103780.    	  103850.    	  103876.    	  103750.    	  103462.    
  82.5000    	  102250.    	  103006.    	  103604.    	  103810.    	  103815.    	  103857.    	  103889.    	  103773.    	  103500.    
  85.0000    	  102303.    	  103103.    	  103706.    	  103913.    	  103946.    	  103981.    	  103971.    	  103807.    	  103509.    
  87.5000    	  102141.    	  102926.    	  103609.    	  103993.    	  104170.    	  104239.    	  104141.    	  103860.    	  103499.    
